WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
69,54,55,56,57,-80,-81,-81,-81,-82,44.34902546
69,54,55,56,57,-80,-81,-81,-81,-82,45.70862146
69,54,55,56,57,-80,-81,-81,-81,-82,44.04478256
69,54,55,56,57,-80,-81,-81,-81,-82,41.40310277
69,54,55,56,57,-80,-81,-81,-81,-82,43.18458011
69,54,55,56,57,-80,-81,-81,-81,-82,48.63550507
69,54,55,56,57,-80,-81,-81,-81,-82,50.16929348
69,54,55,56,57,-80,-81,-81,-81,-82,50.57219468
69,54,55,56,57,-80,-81,-81,-81,-82,49.06540348
69,54,55,56,57,-80,-81,-81,-81,-82,46.05080892
69,54,55,56,57,-80,-81,-81,-81,-82,49.63353004
69,54,55,56,57,-80,-81,-81,-81,-82,49.93704044
69,54,55,56,57,-80,-81,-81,-81,-82,45.63646314
69,54,55,56,57,-80,-81,-81,-81,-82,42.04420833
69,54,55,56,57,-80,-81,-81,-81,-82,40.06519345
69,54,55,56,57,-80,-81,-81,-81,-82,42.9054548
69,54,55,56,57,-80,-81,-81,-81,-82,43.62099003
69,54,55,56,57,-80,-81,-81,-81,-82,44.18131421
69,54,55,56,57,-80,-81,-81,-81,-82,42.71839852
69,54,55,56,57,-80,-81,-81,-81,-82,40.71772621
69,54,55,56,57,-80,-81,-81,-81,-82,39.56457495
69,54,55,56,57,-80,-81,-81,-81,-82,35.97212496
69,54,55,56,57,-80,-81,-81,-81,-82,37.24178352
69,54,55,56,57,-80,-81,-81,-81,-82,37.94012392
69,54,55,56,57,-80,-81,-81,-81,-82,39.15759051
69,54,55,56,57,-80,-81,-81,-81,-82,36.94548679
69,54,55,56,57,-80,-81,-81,-81,-82,37.53857391
69,54,55,56,57,-80,-81,-81,-81,-82,38.11799532
69,54,55,56,57,-80,-81,-81,-81,-82,40.41863149
69,54,55,56,57,-80,-81,-81,-81,-82,41.28862124
69,54,55,56,57,-80,-81,-81,-81,-82,43.36061794
43,44,45,46,47,-69,-69,-70,-70,-71,43.05245682
43,44,45,46,47,-69,-69,-70,-70,-71,42.5010699
43,45,46,44,47,-61,-61,-61,-61,-62,41.20742061
43,45,46,44,47,-61,-61,-61,-61,-62,40.43724039
47,43,45,46,44,-73,-77,-77,-77,-77,46.41216292
47,43,45,46,44,-73,-77,-77,-77,-77,44.76788007
47,43,45,46,44,-73,-77,-77,-77,-77,44.76788007
31,45,46,47,43,-69,-72,-72,-72,-74,46.44279127
31,45,46,47,43,-69,-72,-72,-72,-74,44.53086349
31,45,46,47,43,-69,-72,-72,-72,-74,47.39521491
31,45,46,47,43,-69,-72,-72,-72,-74,47.79034413
31,45,46,47,43,-69,-72,-72,-72,-74,46.93666257
31,45,46,47,43,-69,-72,-72,-72,-74,48.20778695
31,45,46,47,43,-69,-72,-72,-72,-74,46.80422
31,45,46,47,43,-69,-72,-72,-72,-74,47.74514762
31,45,46,47,43,-69,-72,-72,-72,-74,38.45625495
31,45,46,47,43,-69,-72,-72,-72,-74,37.89198451
31,45,46,47,43,-69,-72,-72,-72,-74,38.75512189
31,45,46,47,43,-69,-72,-72,-72,-74,38.07225796
31,45,46,47,43,-69,-72,-72,-72,-74,40.16486714
31,45,46,47,43,-69,-72,-72,-72,-74,43.8614902
31,45,46,47,43,-69,-72,-72,-72,-74,45.07314206
31,45,46,47,43,-69,-72,-72,-72,-74,45.52015189
