WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
44,42,40,39,41,-52,-58,-61,-63,-64,38.04127108
44,45,46,47,48,-56,-56,-56,-56,-56,40.54951972
44,45,46,47,48,-56,-56,-56,-56,-56,43.38613335
45,46,47,48,44,-53,-53,-53,-53,-54,39.9223199
45,46,47,48,44,-53,-53,-53,-53,-54,37.77835332
47,48,45,46,44,-54,-54,-55,-55,-58,39.38997421
47,48,45,46,44,-54,-54,-55,-55,-58,38.06982432
47,48,45,46,44,-54,-54,-55,-55,-58,34.66540329
47,48,45,46,44,-54,-54,-55,-55,-58,33.80058962
47,48,45,46,44,-54,-54,-55,-55,-58,37.68421388
47,48,45,46,44,-54,-54,-55,-55,-58,46.01831751
47,48,45,46,44,-54,-54,-55,-55,-58,48.1995263
47,48,45,46,44,-54,-54,-55,-55,-58,51.92431767
47,48,45,46,44,-54,-54,-55,-55,-58,47.65758195
47,48,45,46,44,-54,-54,-55,-55,-58,32.33509848
47,48,45,46,44,-54,-54,-55,-55,-58,36.95973117
47,48,45,46,44,-54,-54,-55,-55,-58,32.69848682
45,46,47,48,44,-54,-54,-54,-55,-59,33.48693775
45,46,47,48,44,-54,-54,-54,-55,-59,35.09482655
44,48,45,46,47,-54,-58,-59,-59,-59,35.9945505
44,48,45,46,47,-54,-58,-59,-59,-59,33.08295533
44,58,55,56,57,-53,-68,-68,-68,-68,38.80484243
44,45,46,47,48,-54,-60,-60,-60,-60,36.91438244
46,47,48,45,44,-53,-53,-53,-54,-55,39.33296367
46,47,48,45,44,-53,-53,-53,-54,-55,39.57395328
44,45,46,47,48,-60,-63,-63,-63,-63,40.41529711
47,46,44,50,49,-60,-61,-63,-64,-64,40.29923777
47,46,44,50,49,-60,-61,-63,-64,-64,40.19723407
44,52,49,51,53,-52,-61,-62,-63,-63,36.73933765
39,38,44,40,45,-55,-55,-56,-56,-62,39.3972175
39,38,44,40,45,-55,-55,-56,-56,-62,36.67783625
44,45,46,47,48,-51,-54,-54,-54,-54,35.9739014
44,45,46,47,48,-51,-54,-54,-54,-54,37.60008129
48,45,46,47,44,-51,-52,-52,-52,-54,35.10302047
48,45,46,47,44,-51,-52,-52,-52,-54,33.12993404
45,46,47,48,41,-51,-51,-51,-51,-52,34.10710955
45,46,47,48,44,-58,-58,-58,-58,-61,34.24416329
