WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT,LOCATION
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-54,-58,-59,-59,-59,35.9945505,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-54,-58,-59,-59,-59,33.08295533,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:76,f4:2e:7f:79:a4:73,f4:2e:7f:79:a4:74,f4:2e:7f:79:a4:75,-53,-68,-68,-68,-68,38.80484243,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-54,-60,-60,-60,-60,36.91438244,indoor
f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:32,-53,-53,-53,-54,-55,39.33296367,indoor
f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:32,-53,-53,-53,-54,-55,39.57395328,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-60,-63,-63,-63,-63,40.41529711,indoor
f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:63,f4:2e:7f:79:a4:62,-60,-61,-63,-64,-64,40.29923777,indoor
f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:63,f4:2e:7f:79:a4:62,-60,-61,-63,-64,-64,40.19723407,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:65,f4:2e:7f:79:a4:62,f4:2e:7f:79:a4:64,f4:2e:7f:79:a4:66,-52,-61,-62,-63,-63,36.73933765,indoor
f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,-55,-55,-56,-56,-62,39.3972175,indoor
