WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT,LOCATION,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-58,-62,-62,-62,-62,41.93663695,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-53,-53,-54,-54,-54,114.7371444,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-54,-59,-59,-59,-59,114.8684242,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-54,-59,-59,-59,-59,114.9203783,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-55,-56,-56,-56,-56,114.797831,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-55,-56,-56,-56,-56,114.8132357,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-56,-57,-57,-57,-57,114.8072944,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:a3:26,-55,-55,-55,-55,-59,36.23754669,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-50,-51,-51,-52,-52,35.71982822,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-50,-51,-51,-52,-52,34.58430596,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-50,-50,-51,-51,-61,34.31588312,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-50,-50,-51,-51,-61,40.21592872,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-53,-53,-53,-53,-55,60.25640607,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-53,-53,-53,-53,-55,60.19498753,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-55,-56,-56,-56,-56,60.14501721,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-56,-56,-56,-56,-56,60.23511065,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-56,-56,-56,-56,-58,60.36340954,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-56,-56,-56,-56,-58,33.96993587,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-47,-47,-47,-47,-48,37.72534183,indoor,
